Q20,Q30,EHFB,HFBROT
12000.0,30000.0,-1734.221334,-1739.356861
12000.0,36000.0,-1728.079334,-1733.382808
12000.0,42000.0,-1722.449645,-1727.956603
12000.0,48000.0,-1718.893216,-1724.778624
12000.0,54000.0,-1718.472518,-1723.968756
12000.0,60000.0,-1725.157498,-1730.635802
12800.0,-0.0,-1744.193553,-1748.798775
12800.0,6000.0,-1746.058041,-1750.643237
12800.0,12000.0,-1749.884762,-1754.339063
12800.0,18000.0,-1748.974954,-1753.547315
12800.0,24000.0,-1743.25972,-1748.088951
12800.0,30000.0,-1736.564335,-1741.6469
12800.0,36000.0,-1730.506692,-1735.7689
12800.0,42000.0,-1725.000379,-1730.393724
12800.0,48000.0,-1719.96746,-1725.757016
12800.0,54000.0,-1716.520939,-1722.480239
12800.0,60000.0,-1721.582249,-1727.054247
13600.0,-0.0,-1742.580992,-1747.2895
13600.0,6000.0,-1744.979015,-1749.596489
13600.0,12000.0,-1749.14618,-1753.688105
13600.0,18000.0,-1750.304872,-1754.889709
13600.0,24000.0,-1745.478023,-1750.266641
13600.0,30000.0,-1738.885395,-1743.899436
13600.0,36000.0,-1732.650166,-1737.872822
13600.0,42000.0,-1727.4668,-1732.837051
13600.0,48000.0,-1722.100384,-1727.810909
13600.0,54000.0,-1717.660994,-1723.544902
13600.0,60000.0,-1718.675409,-1724.117094
14400.0,0.0,-1741.338597,-1746.127702
14400.0,6000.0,-1744.12713,-1748.797702
14400.0,12000.0,-1748.11214,-1752.732094
14400.0,18000.0,-1750.859874,-1755.479724
14400.0,24000.0,-1747.784779,-1752.540308
14400.0,30000.0,-1741.421563,-1746.39024
14400.0,36000.0,-1734.515352,-1739.748446
14400.0,42000.0,-1730.049591,-1735.398517
14400.0,48000.0,-1724.890744,-1730.506746
14400.0,54000.0,-1719.710845,-1725.50046
14400.0,60000.0,-1716.687139,-1722.088337
15200.0,-0.0,-1740.681689,-1745.508836
15200.0,6000.0,-1743.517683,-1748.242902
15200.0,12000.0,-1747.223618,-1751.899636
15200.0,18000.0,-1750.566124,-1755.238414
15200.0,24000.0,-1749.582374,-1754.322856
15200.0,30000.0,-1744.132162,-1749.064198
15200.0,36000.0,-1737.582421,-1742.702419
15200.0,42000.0,-1732.083084,-1737.401004
15200.0,48000.0,-1727.722474,-1733.159207
15200.0,54000.0,-1722.405019,-1728.084308
15200.0,60000.0,-1717.059988,-1722.757987
16000.0,-0.0,-1741.674362,-1746.46265
16000.0,6000.0,-1743.346512,-1748.113756
16000.0,12000.0,-1746.532641,-1751.262182
16000.0,18000.0,-1749.751203,-1754.472328
16000.0,24000.0,-1750.664766,-1755.404859
16000.0,30000.0,-1746.469973,-1751.372411
16000.0,36000.0,-1740.922636,-1745.978899
16000.0,42000.0,-1734.091731,-1739.394357
16000.0,48000.0,-1730.279706,-1735.671291
16000.0,54000.0,-1725.682412,-1731.180992
16000.0,60000.0,-1720.182728,-1725.834092
16800.0,0.0,-1743.171996,-1747.976061
16800.0,6000.0,-1743.796279,-1748.592221
16800.0,12000.0,-1746.080926,-1750.849165
16800.0,18000.0,-1748.800601,-1753.560933
16800.0,24000.0,-1751.225573,-1755.971753
16800.0,30000.0,-1748.105415,-1752.977683
16800.0,36000.0,-1743.861589,-1748.876706
16800.0,42000.0,-1737.546427,-1742.751718
16800.0,48000.0,-1732.204102,-1737.567062
16800.0,54000.0,-1728.504255,-1733.959544
16800.0,60000.0,-1723.798127,-1729.359163
17600.0,0.0,-1744.760663,-1749.574617
17600.0,6000.0,-1744.682472,-1749.502861
17600.0,12000.0,-1745.710065,-1750.51807
17600.0,18000.0,-1747.955775,-1752.746859
17600.0,24000.0,-1751.326638,-1756.086776
17600.0,30000.0,-1749.529974,-1754.348246
17600.0,36000.0,-1745.957582,-1750.947206
17600.0,42000.0,-1740.966953,-1746.089852
17600.0,48000.0,-1734.421068,-1739.740205
17600.0,54000.0,-1730.642132,-1736.068701
17600.0,60000.0,-1726.849236,-1732.351921
18400.0,0.0,-1746.02588,-1750.863816
18400.0,6000.0,-1745.594858,-1750.438212
18400.0,12000.0,-1745.487814,-1750.338808
