     Z      N         Q20         Q30         B         ZPE           M22           M23           M33
     92    140       40.00       30.00    -1716.6594        3.0036        0.3107       -0.5270        0.9075
     92    140       40.00       33.00    -1715.3794        2.1035        0.2648       -0.4415        0.7485
     92    140       40.00       36.00    -1716.2549        2.5961        0.1422       -0.1654        0.2020
     92    140       40.00       39.00    -1716.2040        0.6547        0.2216       -0.2391        0.4236
     92    140       40.00       42.00    -1715.8466        2.5320        0.2252       -0.2561        0.3001
     92    140       40.00       45.00    -1715.0869        2.4234        0.2721       -0.3067        0.3547
     92    140       40.00       48.00    -1712.9800        2.3512        0.2290       -0.3374        0.6113
     92    140       40.00       51.00    -1709.3224        0.8264        0.2825       -0.4722        0.8172
     92    140       40.00       54.00    -1706.3898        0.6670        0.2901       -0.4829        0.8292
     92    140       40.00       57.00    -1700.3185        0.7654        0.2154       -0.3590        0.6207
     92    140       40.00       60.00    -1695.4948        0.8611        0.1884       -0.3168        0.5524
     92    140       48.00        0.00    -1748.8124        1.6893        0.0990       -0.0000        0.0884
     92    140       48.00        3.00    -1746.2206        1.2266        0.1003       -0.0098        0.1548
     92    140       48.00        6.00    -1743.3273        1.2166        0.1166       -0.0369        0.3513
     92    140       48.00        9.00    -1742.3405        1.0643        0.1111       -0.0917        0.4109
     92    140       48.00       12.00    -1742.2529        0.8963        0.1034       -0.0999        0.2903
     92    140       48.00       15.00    -1741.6751        1.1168        0.1038       -0.0507        0.1388
     92    140       48.00       18.00    -1732.8219        1.0450        0.1916       -0.1107        0.1811
     92    140       48.00       21.00    -1730.9525        0.8702        0.2009       -0.1139        0.2239
     92    140       48.00       24.00    -1718.8638        0.6945        0.2375       -0.4081        0.8348
     92    140       48.00       27.00    -1719.7903        0.7841        0.2600       -0.4154        0.6723
     92    140       48.00       30.00    -1719.1787        1.8822        0.2673       -0.4386        0.7412
     92    140       48.00       33.00    -1718.8283        0.7284        0.1627       -0.2711        0.4825
     92    140       48.00       36.00    -1718.2043        2.5598        0.2466       -0.4014        0.6684
     92    140       48.00       39.00    -1719.1239        0.3409        0.1560       -0.1943        0.4086
     92    140       48.00       42.00    -1718.3070        2.8405        0.1263       -0.1416        0.1661
     92    140       48.00       45.00    -1717.7773        2.8308        0.2162       -0.2400        0.2739
     92    140       48.00       48.00    -1716.3015        2.6369        0.1856       -0.2685        0.4883
     92    140       48.00       51.00    -1714.4581        2.4620        0.2549       -0.4005        0.6795
     92    140       48.00       54.00    -1711.4827        0.8044        0.4670       -0.7589        1.2630
     92    140       48.00       57.00    -1709.2651        0.8083        0.2203       -0.3656        0.6248
     92    140       48.00       60.00    -1705.2497        0.7816        0.2218       -0.3649        0.6190
     92    140       56.00        0.00    -1749.4549        1.5858        0.1176        0.0000        0.1159
     92    140       56.00        3.00    -1746.9976        1.1924        0.1179        0.0079        0.1972
     92    140       56.00        6.00    -1742.8693        1.2536        0.0772       -0.0403        0.1479
     92    140       56.00        9.00    -1739.9926        1.1623        0.0586       -0.0817        0.3301
     92    140       56.00       12.00    -1737.7359        0.9740        0.0795       -0.1139        0.3743
     92    140       56.00       15.00    -1739.7542        1.5092        0.0608        0.0199        0.0427
     92    140       56.00       18.00    -1737.2442        0.8301        0.1560       -0.1251        0.2183
     92    140       56.00       21.00    -1728.7515        0.8953        0.1565       -0.0835        0.1564
     92    140       56.00       24.00    -1728.2461        1.0363        0.1162       -0.0915        0.1083
     92    140       56.00       27.00    -1724.3234        0.8032        0.2349       -0.3668        0.5805
     92    140       56.00       30.00    -1720.7284        0.8441        0.1986       -0.3094        0.4880
     92    140       56.00       33.00    -1718.8561        1.4707        0.1046       -0.1736        0.3010
     92    140       56.00       36.00    -1722.8006        0.7215        0.1518       -0.2084        0.4246
     92    140       56.00       39.00    -1721.5048        0.7063        0.2021       -0.3283        0.5784
     92    140       56.00       42.00    -1719.7882        0.6782        0.2411       -0.3856        0.6430
     92    140       56.00       45.00    -1720.5945        2.8108        0.1318       -0.1441        0.1641
     92    140       56.00       48.00    -1719.8649        2.9433        0.1213       -0.1315        0.1489
     92    140       56.00       51.00    -1718.6334        3.0025        0.1504       -0.2117        0.3781
     92    140       56.00       54.00    -1716.6175        2.7504        0.2000       -0.3088        0.5157
     92    140       56.00       57.00    -1714.3187        0.7508        0.3192       -0.5091        0.8370
     92    140       56.00       60.00    -1711.5614        0.8056        0.4976       -0.8026        1.3130
     92    140       64.00        0.00    -1750.8402        1.5209        0.1051       -0.0000        0.0984
     92    140       64.00        3.00    -1748.3795        1.4405        0.0755       -0.0153        0.0959
     92    140       64.00        6.00    -1743.5572        1.1412        0.0783       -0.0399        0.1421
     92    140       64.00        9.00    -1739.8872        1.4946        0.1091       -0.0458        0.1157
     92    140       64.00       12.00    -1735.9828        1.2065        0.0531       -0.0613        0.2150
     92    140       64.00       15.00    -1731.9154        2.0130        0.0510       -0.0351        0.0955
     92    140       64.00       18.00    -1732.6911        1.4366        0.1211       -0.1166        0.1751
     92    140       64.00       21.00    -1723.1607        1.1033        0.0957       -0.0669        0.1600
     92    140       64.00       24.00    -1731.4567        1.0858        0.0971       -0.0603        0.0807
     92    140       64.00       27.00    -1722.6650        0.7860        0.1168       -0.0801        0.1498
     92    140       64.00       30.00    -1721.9737        0.7621        0.2846       -0.4447        0.7001
     92    140       64.00       33.00    -1721.6677        0.8448        0.1978       -0.3082        0.4856
     92    140       64.00       36.00    -1722.0281        1.3685        0.0958       -0.1539        0.2594
     92    140       64.00       39.00    -1722.2436        0.4204        0.3911       -0.6425        1.0548
     92    140       64.00       42.00    -1725.3157        1.8514        0.1754       -0.1913        0.2196
     92    140       64.00       45.00    -1723.9206        0.6860        0.1923       -0.2965        0.5076
     92    140       64.00       48.00    -1722.2163        2.8852        0.2804       -0.2974        0.3218
     92    140       64.00       51.00    -1721.5636        2.9595        0.1101       -0.1403        0.2642
     92    140       64.00       54.00    -1720.0694        2.8734        0.1752       -0.2506        0.4263
     92    140       64.00       57.00    -1718.0058        0.7820        0.1417       -0.2142        0.3546
     92    140       64.00       60.00    -1715.9228        0.8433        0.2701       -0.4275        0.6976
