   Q20	    Q22	  pairing    E_HFB         E_ZPE     B2020      B2222       Bpairpair   B2022       B20pair     B22pair       \Delta_n    \Delta_p  	
   22.00    1.00   26.00   -1801.267       4.692    0.008722    0.014386    0.000294   -0.000225   -0.000800    0.000045       1.362       1.377
   22.00    1.00   27.00   -1801.170       4.703    0.008593    0.014176    0.000296   -0.000224   -0.000783    0.000049       1.375       1.390
   22.00    1.00   28.00   -1801.074       4.716    0.008455    0.013961    0.000303   -0.000211   -0.000776    0.000050       1.390       1.403
   22.00    1.00   29.00   -1800.974       4.729    0.008290    0.013748    0.000283   -0.000199   -0.000725    0.000049       1.404       1.417
   22.00    1.00   30.00   -1800.862       4.738    0.008168    0.013553    0.000265   -0.000186   -0.000685    0.000047       1.416       1.429
   22.00    1.00   31.00   -1800.748       4.749    0.008034    0.013362    0.000260   -0.000170   -0.000662    0.000046       1.429       1.442
   22.00    1.00   32.00   -1800.630       4.759    0.007907    0.013178    0.000257   -0.000157   -0.000640    0.000045       1.442       1.454
   22.00    1.00   33.00   -1800.507       4.769    0.007786    0.013000    0.000254   -0.000146   -0.000619    0.000045       1.455       1.466
   22.00    1.00   34.00   -1800.380       4.778    0.007670    0.012826    0.000252   -0.000137   -0.000599    0.000045       1.467       1.478
   22.00    1.00   35.00   -1800.249       4.787    0.007560    0.012656    0.000250   -0.000129   -0.000580    0.000045       1.479       1.490
   22.00    1.00   36.00   -1800.114       4.797    0.007455    0.012490    0.000249   -0.000121   -0.000562    0.000046       1.492       1.502
   22.00    1.00   37.00   -1799.976       4.806    0.007355    0.012327    0.000247   -0.000113   -0.000544    0.000046       1.504       1.514
   22.00    1.00   38.00   -1799.835       4.816    0.007260    0.012166    0.000245   -0.000105   -0.000527    0.000046       1.516       1.527
   22.00    1.00   39.00   -1799.691       4.826    0.007169    0.012006    0.000243   -0.000096   -0.000511    0.000045       1.529       1.539
   22.00    1.00   40.00   -1799.544       4.836    0.007083    0.011846    0.000240   -0.000085   -0.000496    0.000044       1.541       1.553
   22.00    1.00   41.00   -1799.391       4.846    0.006977    0.011701    0.000236   -0.000089   -0.000474    0.000051       1.554       1.564
   22.00    1.00   42.00   -1799.235       4.855    0.006879    0.011557    0.000232   -0.000088   -0.000454    0.000054       1.566       1.575
   22.00    1.00   43.00   -1799.075       4.865    0.006788    0.011414    0.000228   -0.000083   -0.000435    0.000055       1.579       1.587
   22.00    1.00   44.00   -1798.911       4.875    0.006703    0.011272    0.000224   -0.000075   -0.000417    0.000054       1.591       1.599
   22.00    1.00   45.00   -1798.744       4.884    0.006623    0.011133    0.000219   -0.000065   -0.000400    0.000051       1.604       1.610
   22.00    1.00   46.00   -1798.573       4.893    0.006548    0.010996    0.000215   -0.000054   -0.000385    0.000048       1.616       1.622
