 #  Z     N         Q_20        Q_30       BE_LN
    92   158      144.00       30.00    -1775.3560
    92   158      144.00       33.00    -1771.6730
    92   158      144.00       36.00    -1769.4020
    92   158      144.00       39.00    -1767.6190
    92   158      144.00       42.00    -1765.6760
    92   158      144.00       45.00    -1763.6950
    92   158      144.00       48.00    -1761.7950
    92   158      144.00       51.00    -1758.6870
    92   158      144.00       54.00    -1759.9640
    92   158      144.00       57.00    -1754.6483
    92   158      144.00       60.00    -1750.4030
    92   158      152.00        0.00    -1790.6780
    92   158      152.00        3.00    -1791.0640
    92   158      152.00        6.00    -1793.1660
    92   158      152.00        9.00    -1795.9450
    92   158      152.00       12.00    -1797.9290
    92   158      152.00       15.00    -1797.7110
    92   158      152.00       18.00    -1795.3810
    92   158      152.00       21.00    -1791.9510
    92   158      152.00       24.00    -1788.0730
    92   158      152.00       27.00    -1783.3660
    92   158      152.00       30.00    -1778.2510
    92   158      152.00       33.00    -1773.6490
    92   158      152.00       36.00    -1770.1580
    92   158      152.00       39.00    -1768.2300
    92   158      152.00       42.00    -1766.8660
    92   158      152.00       45.00    -1764.4890
    92   158      152.00       48.00    -1761.7140
    92   158      152.00       51.00    -1759.1390
    92   158      152.00       54.00    -1762.7420
    92   158      152.00       57.00    -1759.8460
    92   158      152.00       60.00    -1754.1440
    92   158      160.00        0.00    -1790.7480
    92   158      160.00        3.00    -1790.9990
    92   158      160.00        6.00    -1792.2970
    92   158      160.00        9.00    -1795.3500
    92   158      160.00       12.00    -1797.8810
    92   158      160.00       15.00    -1798.7130
    92   158      160.00       18.00    -1797.2900
    92   158      160.00       21.00    -1794.0850
    92   158      160.00       24.00    -1790.4230
    92   158      160.00       27.00    -1786.1400
    92   158      160.00       30.00    -1781.0630
    92   158      160.00       33.00    -1775.4010
    92   158      160.00       36.00    -1771.1710
    92   158      160.00       39.00    -1768.8910
    92   158      160.00       42.00    -1767.6310
    92   158      160.00       45.00    -1766.0920
    92   158      160.00       48.00    -1763.0360
    92   158      160.00       51.00    -1759.7340
    92   158      160.00       54.00    -1756.8320
    92   158      160.00       57.00    -1762.6180
    92   158      160.00       60.00    -1758.6260
    92   158      168.00        0.00    -1791.2030
    92   158      168.00        3.00    -1791.4970
    92   158      168.00        6.00    -1792.5660
    92   158      168.00        9.00    -1794.7510
    92   158      168.00       12.00    -1797.5280
    92   158      168.00       15.00    -1799.2190
    92   158      168.00       18.00    -1798.9130
    92   158      168.00       21.00    -1796.3690
    92   158      168.00       24.00    -1792.6680
    92   158      168.00       27.00    -1788.7440
    92   158      168.00       30.00    -1784.0930
    92   158      168.00       33.00    -1778.7540
    92   158      168.00       36.00    -1774.1790
    92   158      168.00       39.00    -1770.0680
    92   158      168.00       42.00    -1768.0630
    92   158      168.00       45.00    -1766.9810
    92   158      168.00       48.00    -1764.6150
    92   158      168.00       51.00    -1760.7590
    92   158      168.00       54.00    -1756.6810
    92   158      168.00       57.00    -1763.6470
    92   158      168.00       60.00    -1761.4960
    92   158      176.00        0.00    -1791.7790
    92   158      176.00        3.00    -1792.5330
    92   158      176.00        6.00    -1793.5720
    92   158      176.00        9.00    -1793.9770
    92   158      176.00       12.00    -1797.2570
    92   158      176.00       15.00    -1799.6340
    92   158      176.00       18.00    -1800.2850
    92   158      176.00       21.00    -1798.6640
    92   158      176.00       24.00    -1795.0280
    92   158      176.00       27.00    -1791.1980
    92   158      176.00       30.00    -1786.8960
    92   158      176.00       33.00    -1781.9420
    92   158      176.00       36.00    -1776.4590
    92   158      176.00       39.00    -1771.9490
    92   158      176.00       42.00    -1768.5440
    92   158      176.00       45.00    -1767.6850
    92   158      176.00       48.00    -1765.7480
    92   158      176.00       51.00    -1762.3900
    92   158      176.00       54.00    -1757.7940
    92   158      176.00       57.00    -1753.0700
    92   158      176.00       60.00    -1763.9330
    92   158      184.00        0.00    -1792.9010
    92   158      184.00        3.00    -1793.7690
    92   158      184.00        6.00    -1794.7760
    92   158      184.00        9.00    -1795.0840
    92   158      184.00       12.00    -1796.9210
    92   158      184.00       15.00    -1799.7350
