 #  Z     N         Q_20        Q_30       BE_LN
    92   158      136.00        3.00    -1857.5740
    92   158      136.00        6.00    -1855.2300
    92   158      136.00        9.00    -1854.9660
    92   158      136.00       12.00    -1854.5480
    92   158      136.00       15.00    -1852.7470
    92   158      136.00       18.00    -1850.2250
    92   158      136.00       21.00    -1846.7740
    92   158      136.00       24.00    -1841.5340
    92   158      136.00       27.00    -1838.2340
    92   158      136.00       30.00    -1837.1950
    92   158      136.00       33.00    -1836.5300
    92   158      136.00       36.00    -1835.1400
    92   158      136.00       39.00    -1834.5160
    92   158      136.00       42.00    -1831.7800
    92   158      136.00       45.00    -1826.2490
    92   158      136.00       48.00    -1820.1740
    92   158      136.00       51.00    -1814.5470
    92   158      136.00       54.00    -1812.6190
    92   158      136.00       57.00    -1806.0939
    92   158      136.00       60.00    -1800.7780
    92   158      144.00        0.00    -1857.6170
    92   158      144.00        3.00    -1857.3410
    92   158      144.00        6.00    -1855.1920
    92   158      144.00        9.00    -1854.8880
    92   158      144.00       12.00    -1855.2720
    92   158      144.00       15.00    -1854.0090
    92   158      144.00       18.00    -1851.5480
    92   158      144.00       21.00    -1848.3550
    92   158      144.00       24.00    -1844.4670
    92   158      144.00       27.00    -1838.8330
    92   158      144.00       30.00    -1836.7310
    92   158      144.00       33.00    -1835.6980
    92   158      144.00       36.00    -1834.6460
    92   158      144.00       39.00    -1833.8820
    92   158      144.00       42.00    -1833.3360
    92   158      144.00       45.00    -1830.5300
    92   158      144.00       48.00    -1825.0090
    92   158      144.00       51.00    -1819.6310
    92   158      144.00       54.00    -1816.0350
    92   158      144.00       57.00    -1812.9580
    92   158      144.00       60.00    -1807.1640
    92   158      152.00        0.00    -1856.9780
    92   158      152.00        3.00    -1856.9450
    92   158      152.00        6.00    -1855.9210
    92   158      152.00        9.00    -1856.2910
    92   158      152.00       12.00    -1856.7980
    92   158      152.00       15.00    -1855.8200
    92   158      152.00       18.00    -1853.2550
    92   158      152.00       21.00    -1850.0070
    92   158      152.00       24.00    -1846.2060
    92   158      152.00       27.00    -1841.7820
    92   158      152.00       30.00    -1836.8930
    92   158      152.00       33.00    -1835.1800
    92   158      152.00       36.00    -1833.8840
    92   158      152.00       39.00    -1832.3800
    92   158      152.00       42.00    -1832.2040
    92   158      152.00       45.00    -1831.4760
    92   158      152.00       48.00    -1828.4930
    92   158      152.00       51.00    -1822.8270
    92   158      152.00       54.00    -1817.4020
    92   158      152.00       57.00    -1814.8650
    92   158      152.00       60.00    -1810.2580
    92   158      160.00        0.00    -1856.6440
    92   158      160.00        3.00    -1856.5840
    92   158      160.00        6.00    -1856.6810
    92   158      160.00        9.00    -1857.4390
    92   158      160.00       12.00    -1858.2700
    92   158      160.00       15.00    -1857.7490
    92   158      160.00       18.00    -1855.1330
    92   158      160.00       21.00    -1851.8590
    92   158      160.00       24.00    -1848.0870
    92   158      160.00       27.00    -1844.3570
    92   158      160.00       30.00    -1839.7530
    92   158      160.00       33.00    -1835.5910
    92   158      160.00       36.00    -1833.5800
    92   158      160.00       39.00    -1831.9700
    92   158      160.00       42.00    -1830.5810
    92   158      160.00       45.00    -1830.4660
    92   158      160.00       48.00    -1829.5850
    92   158      160.00       51.00    -1826.6310
    92   158      160.00       54.00    -1820.9350
    92   158      160.00       57.00    -1814.8584
    92   158      160.00       60.00    -1812.5767
    92   158      168.00        0.00    -1856.3040
    92   158      168.00        3.00    -1856.3000
    92   158      168.00        6.00    -1856.9470
    92   158      168.00        9.00    -1857.8810
    92   158      168.00       12.00    -1860.0410
    92   158      168.00       15.00    -1859.8800
    92   158      168.00       18.00    -1857.6510
    92   158      168.00       21.00    -1854.2910
    92   158      168.00       24.00    -1850.0880
    92   158      168.00       27.00    -1846.3250
    92   158      168.00       30.00    -1842.5870
    92   158      168.00       33.00    -1838.2500
    92   158      168.00       36.00    -1834.3250
    92   158      168.00       39.00    -1831.5360
    92   158      168.00       42.00    -1829.9590
    92   158      168.00       45.00    -1828.6110
    92   158      168.00       48.00    -1828.4010
    92   158      168.00       51.00    -1826.6480
    92   158      168.00       54.00    -1823.2960
    92   158      168.00       57.00    -1814.6941
    92   158      168.00       60.00    -1815.5118
    92   158      176.00        0.00    -1855.8140
    92   158      176.00        3.00    -1855.9390
    92   158      176.00        6.00    -1856.7140
    92   158      176.00        9.00    -1858.4077
    92   158      176.00       12.00    -1861.0530
    92   158      176.00       15.00    -1861.8300
    92   158      176.00       18.00    -1860.4230
    92   158      176.00       21.00    -1857.3610
    92   158      176.00       24.00    -1853.1850
    92   158      176.00       27.00    -1848.1250
    92   158      176.00       30.00    -1844.5650
    92   158      176.00       33.00    -1841.0040
    92   158      176.00       36.00    -1836.7690
    92   158      176.00       39.00    -1832.5510
    92   158      176.00       42.00    -1829.6070
    92   158      176.00       45.00    -1828.2270
    92   158      176.00       48.00    -1826.8570
    92   158      176.00       51.00    -1825.4710
    92   158      176.00       54.00    -1822.2010
    92   158      176.00       57.00    -1815.1895
    92   158      176.00       60.00    -1818.9003
    92   158      184.00        0.00    -1855.3100
    92   158      184.00        3.00    -1855.5010
    92   158      184.00        6.00    -1856.1650
    92   158      184.00        9.00    -1858.7210
    92   158      184.00       12.00    -1861.1580
    92   158      184.00       15.00    -1862.6450
    92   158      184.00       18.00    -1862.2580
    92   158      184.00       21.00    -1859.7810
    92   158      184.00       24.00    -1855.9760
    92   158      184.00       27.00    -1851.1390
    92   158      184.00       30.00    -1846.3470
    92   158      184.00       33.00    -1842.7320
    92   158      184.00       36.00    -1839.4460
    92   158      184.00       39.00    -1834.8300
    92   158      184.00       42.00    -1830.2440
    92   158      184.00       45.00    -1828.4967
    92   158      184.00       48.00    -1827.1100
    92   158      184.00       51.00    -1824.8500
    92   158      184.00       54.00    -1821.8540
    92   158      184.00       57.00    -1817.1620
    92   158      184.00       60.00    -1822.5794
    92   158      192.00        0.00    -1854.8980
    92   158      192.00        3.00    -1855.1150
    92   158      192.00        6.00    -1855.4930
    92   158      192.00        9.00    -1858.4200
    92   158      192.00       12.00    -1860.9620
    92   158      192.00       15.00    -1862.7580
    92   158      192.00       18.00    -1863.2550
    92   158      192.00       21.00    -1861.4950
    92   158      192.00       24.00    -1857.9930
    92   158      192.00       27.00    -1853.5770
    92   158      192.00       30.00    -1848.7180
    92   158      192.00       33.00    -1844.3120
    92   158      192.00       36.00    -1840.9580
    92   158      192.00       39.00    -1837.4240
    92   158      192.00       42.00    -1832.1610
    92   158      192.00       45.00    -1829.1992
    92   158      192.00       48.00    -1829.2136
    92   158      192.00       51.00    -1825.4425
    92   158      192.00       54.00    -1822.4310
    92   158      192.00       57.00    -1821.1235
    92   158      192.00       60.00    -1826.3863
    92   158      200.00        0.00    -1854.6450
    92   158      200.00        3.00    -1854.8620
    92   158      200.00        6.00    -1855.1190
    92   158      200.00        9.00    -1857.8840
    92   158      200.00       12.00    -1860.6130
    92   158      200.00       15.00    -1862.6770
    92   158      200.00       18.00    -1863.7980
    92   158      200.00       21.00    -1862.7860
    92   158      200.00       24.00    -1859.5490
    92   158      200.00       27.00    -1855.5660
    92   158      200.00       30.00    -1851.1390
    92   158      200.00       33.00    -1846.9080
    92   158      200.00       36.00    -1842.7380
    92   158      200.00       39.00    -1839.8140
    92   158      200.00       42.00    -1836.0450
    92   158      200.00       45.00    -1830.5270
    92   158      200.00       48.00    -1831.3122
    92   158      200.00       51.00    -1827.2248
    92   158      200.00       54.00    -1825.4253
    92   158      200.00       57.00    -1826.3636
    92   158      200.00       60.00    -1830.1582
    92   158      208.00        0.00    -1854.2820
    92   158      208.00        3.00    -1854.4960
    92   158      208.00        6.00    -1854.7680
    92   158      208.00        9.00    -1856.8700
    92   158      208.00       12.00    -1859.7550
    92   158      208.00       15.00    -1862.1780
    92   158      208.00       18.00    -1863.8320
    92   158      208.00       21.00    -1863.5620
    92   158      208.00       24.00    -1860.6900
    92   158      208.00       27.00    -1856.8930
    92   158      208.00       30.00    -1852.8200
    92   158      208.00       33.00    -1848.7070
    92   158      208.00       36.00    -1844.5500
    92   158      208.00       39.00    -1840.6410
    92   158      208.00       42.00    -1837.4640
    92   158      208.00       45.00    -1832.8320
    92   158      208.00       48.00    -1831.1860
    92   158      208.00       51.00    -1830.0040
    92   158      208.00       54.00    -1830.0976
    92   158      208.00       57.00    -1831.8666
    92   158      208.00       60.00    -1833.7322
    92   158      216.00        0.00    -1853.9950
    92   158      216.00        3.00    -1854.2010
    92   158      216.00        6.00    -1854.5240
    92   158      216.00        9.00    -1855.2260
    92   158      216.00       12.00    -1858.7090
    92   158      216.00       15.00    -1861.3850
    92   158      216.00       18.00    -1863.5150
    92   158      216.00       21.00    -1863.9410
    92   158      216.00       24.00    -1861.7320
    92   158      216.00       27.00    -1858.2240
    92   158      216.00       30.00    -1854.7060
    92   158      216.00       33.00    -1850.6410
    92   158      216.00       36.00    -1846.7760
    92   158      216.00       39.00    -1837.1440
    92   158      216.00       42.00    -1839.2510
    92   158      216.00       45.00    -1835.9410
    92   158      216.00       48.00    -1829.3460
    92   158      216.00       51.00    -1831.2010
    92   158      216.00       54.00    -1834.9097
    92   158      216.00       57.00    -1836.6167
    92   158      216.00       60.00    -1836.9454
    92   158      224.00        0.00    -1853.6220
    92   158      224.00        3.00    -1853.8260
    92   158      224.00        6.00    -1854.2300
    92   158      224.00        9.00    -1854.7200
    92   158      224.00       12.00    -1857.5110
    92   158      224.00       15.00    -1860.3600
    92   158      224.00       18.00    -1862.6920
    92   158      224.00       21.00    -1863.7690
    92   158      224.00       24.00    -1862.3320
    92   158      224.00       27.00    -1859.1560
    92   158      224.00       30.00    -1856.0510
    92   158      224.00       33.00    -1852.2700
    92   158      224.00       36.00    -1848.2860
    92   158      224.00       39.00    -1839.0030
    92   158      224.00       42.00    -1837.0250
    92   158      224.00       45.00    -1836.6620
    92   158      224.00       48.00    -1832.4620
