#    Z      N      Q20        Q30        BE           E0           M22          M32          M33         
    92    140     48.000     42.000  -1666.18435      0.77974      0.09454     -0.19330      0.63020
    92    140     48.000     45.000  -1654.07922      0.71357      0.11680     -0.28090      0.84670
    92    140     48.000     48.000  -1646.74368      0.68415      0.30190     -0.74610      2.14800
    92    140     48.000     51.000  -1637.57469      0.68323      0.09555     -0.20930      0.66580
    92    140     48.000     54.000  -1625.20524      0.65681      0.07952     -0.14230      0.51500
    92    140     48.000     57.000  -1612.65937      0.62687      0.09750     -0.07790      0.52510
    92    140     48.000     60.000  -1599.70940      2.74408      0.09571     -0.08744      0.54820
    92    140     56.000      0.000  -1750.18561      1.58721      0.11950     -0.00000      0.11960
    92    140     56.000      3.000  -1747.82842      1.19009      0.12150      0.01115      0.20220
    92    140     56.000      6.000  -1743.74066      1.23987      0.07903     -0.04043      0.15080
    92    140     56.000      9.000  -1740.62803      1.14706      0.05965     -0.08274      0.34380
    92    140     56.000     12.000  -1738.33967      0.95822      0.08191     -0.11580      0.38970
    92    140     56.000     15.000  -1737.00708      0.88507      0.08865     -0.09312      0.26440
    92    140     56.000     18.000  -1736.63807      0.83393      0.15600     -0.12000      0.23540
    92    140     56.000     21.000  -1731.92297      1.12760      0.10240     -0.06026      0.11030
    92    140     56.000     24.000  -1721.55669      0.83085      0.08853     -0.09884      0.27670
    92    140     56.000     27.000  -1708.23683      0.76256      0.10260     -0.19610      0.55440
    92    140     56.000     30.000  -1698.36210      0.87851      0.09427     -0.20500      0.58350
    92    140     56.000     33.000  -1691.35847      0.81092      0.06858     -0.12250      0.40280
    92    140     56.000     36.000  -1689.30690      0.61304      0.15410     -0.33050      0.94670
    92    140     56.000     39.000  -1686.55689      0.59621      0.12420     -0.23560      0.73180
    92    140     56.000     42.000  -1679.26043      0.66814      0.14780     -0.30060      0.89690
    92    140     56.000     45.000  -1671.05056      0.79818      0.09301     -0.19560      0.59170
    92    140     56.000     48.000  -1658.45245      0.77734      0.09299     -0.21430      0.62770
    92    140     56.000     51.000  -1652.54306      0.68046      0.10950     -0.23850      0.72920
    92    140     56.000     54.000  -1644.44966      0.67018      0.10920     -0.24020      0.72800
    92    140     56.000     57.000  -1632.51979      0.62249      0.06879     -0.12360      0.42140
    92    140     56.000     60.000  -1620.58367      0.67372      0.08262     -0.13580      0.49730
    92    140     64.000     -0.000  -1751.61747      1.51681      0.10820      0.00000      0.10160
    92    140     64.000      3.000  -1749.17159      1.42863      0.07693     -0.01521      0.09750
    92    140     64.000      6.000  -1744.41851      1.12204      0.07959     -0.03973      0.14560
    92    140     64.000      9.000  -1740.67898      1.49074      0.11150     -0.04302      0.11780
    92    140     64.000     12.000  -1736.55712      1.19628      0.05349     -0.06145      0.22540
    92    140     64.000     15.000  -1733.82002      1.02033      0.05851     -0.08832      0.30430
    92    140     64.000     18.000  -1732.35818      0.84323      0.09268     -0.10510      0.27130
    92    140     64.000     21.000  -1731.34250      0.81167      0.12080     -0.09687      0.18850
    92    140     64.000     24.000  -1726.08800      0.99801      0.12120     -0.11500      0.26480
    92    140     64.000     27.000  -1716.13152      0.67918      0.09568     -0.16020      0.46200
    92    140     64.000     33.000  -1695.83595      0.93496      0.08635     -0.17770      0.50620
    92    140     64.000     36.000  -1688.97137      0.87815      0.06392     -0.10320      0.39850
    92    140     64.000     39.000  -1680.62137      0.74793      0.21260     -0.48870      1.36500
    92    140     64.000     45.000  -1676.28658      0.83083      0.04908     -0.09519      0.30600
    92    140     64.000     48.000  -1667.18761      0.64613      0.09254     -0.17630      0.54360
    92    140     64.000     51.000  -1661.57578      0.61477      0.11670     -0.25610      0.74600
    92    140     64.000     54.000  -1654.97100      0.61055      0.11980     -0.22390      0.68990
    92    140     64.000     57.000  -1645.91771      0.64605      0.10390     -0.18910      0.60240
    92    140     64.000     60.000  -1633.66710      0.58304      0.08535     -0.09725      0.44090
    92    140     72.000      0.000  -1751.43623      1.34369      0.09161     -0.00000      0.06691
    92    140     72.000      3.000  -1750.00830      1.43174      0.08165     -0.02104      0.07201
    92    140     72.000      6.000  -1746.01428      1.59248      0.07219     -0.03473      0.09487
    92    140     72.000      9.000  -1741.77736      1.28182      0.09296     -0.03842      0.11670
    92    140     72.000     12.000  -1737.06938      1.33112      0.10920     -0.06869      0.10110
    92    140     72.000     15.000  -1732.54715      1.19846      0.08812     -0.06399      0.15810
    92    140     72.000     18.000  -1729.83818      1.08402      0.05348     -0.06881      0.22990
    92    140     72.000     21.000  -1727.82009      0.93389      0.06110     -0.08749      0.24680
    92    140     72.000     24.000  -1725.36107      1.18869      0.09015     -0.09317      0.18880
    92    140     72.000     27.000  -1721.68353      1.35131      0.09952     -0.06085      0.12230
    92    140     72.000     30.000  -1713.22003      1.23569      0.05160     -0.02215      0.08663
    92    140     72.000     33.000  -1701.96650      0.89194      0.08267     -0.09979      0.28510
    92    140     72.000     36.000  -1692.95814      0.90151      0.08380     -0.14760      0.44910
    92    140     72.000     39.000  -1685.75926      0.87741      0.07463     -0.10190      0.38650
    92    140     72.000     42.000  -1684.58735      0.76601      0.22070     -0.46700      1.29100
    92    140     72.000     45.000  -1681.53607      0.64757      0.18270     -0.42500      1.21600
    92    140     72.000     48.000  -1676.04599      0.75272      0.38060     -0.95720      2.57400
    92    140     72.000     51.000  -1669.22035      0.53480      0.12960     -0.16100      0.59750
    92    140     72.000     54.000  -1662.73500      0.54310      0.12650     -0.23350      0.73350
    92    140     72.000     57.000  -1655.26169      2.21909      0.14330     -0.19750      0.72950
    92    140     72.000     60.000  -1644.92699      2.70613      0.12330     -0.16120      0.62980
    92    140     80.000     -0.000  -1751.79614      1.71988      0.07106      0.00000      0.04242
    92    140     80.000      3.000  -1750.72095      1.74992      0.07130     -0.01749      0.05031
